Date,AMZN,META,BRK-B,JNJ,PG,WMT
2021-08-02,166.57400512695312,351.95001220703125,278.1400146484375,160.8997344970703,134.18370056152344,137.36700439453125
2021-08-03,168.31199645996094,351.239990234375,281.79998779296875,162.87979125976562,136.14138793945312,138.91241455078125
2021-08-04,167.73599243164062,358.9200134277344,278.7799987792969,161.91778564453125,134.70387268066406,137.96585083007812
2021-08-05,168.79949951171875,362.9700012207031,280.2099914550781,162.2259979248047,134.77008056640625,140.5254364013672
2021-08-06,167.2469940185547,363.510009765625,285.6300048828125,161.6842803955078,133.7392120361328,140.2742919921875
2021-08-09,167.093505859375,361.6099853515625,287.2300109863281,162.2446746826172,134.46743774414062,140.6123504638672
2021-08-10,166.03399658203125,361.1300048828125,288.94000244140625,162.30072021484375,134.55258178710938,143.60658264160156
2021-08-11,164.60549926757812,359.9599914550781,291.2799987792969,162.3287353515625,134.88356018066406,144.89117431640625
2021-08-12,165.1750030517578,362.6499938964844,290.239990234375,163.63633728027344,135.19566345214844,144.50341796875
2021-08-13,164.69850158691406,363.17999267578125,287.8900146484375,164.61703491210938,135.84825134277344,144.9590606689453
2021-08-16,164.94949340820312,366.55999755859375,289.45001220703125,166.1020965576172,136.79400634765625,146.14175415039062
2021-08-17,162.09800720214844,358.45001220703125,289.1000061035156,167.62448120117188,137.02096557617188,146.09327697753906
2021-08-18,160.06100463867188,355.45001220703125,286.3599853515625,165.49497985839844,135.52667236328125,144.54220581054688
2021-08-19,159.3874969482422,355.1199951171875,285.1300048828125,166.783935546875,137.125,145.5213165283203
2021-08-20,159.99749755859375,359.3699951171875,285.2699890136719,167.59649658203125,137.21957397460938,146.82034301757812
2021-08-23,163.2935028076172,363.3500061035156,285.6199951171875,166.87303161621094,136.5197296142578,145.85092163085938
2021-08-24,165.28900146484375,365.510009765625,286.0199890136719,164.78721618652344,135.41319274902344,144.34829711914062
2021-08-25,164.95899963378906,368.3900146484375,287.29998779296875,163.69735717773438,134.93084716796875,144.40647888183594
2021-08-26,165.8000030517578,364.3800048828125,285.2699890136719,162.82359313964844,134.69439697265625,142.845703125
2021-08-27,167.48150634765625,372.6300048828125,286.6000061035156,162.47593688964844,134.59039306640625,142.0410614013672
2021-08-30,171.07850646972656,380.6600036621094,285.6600036621094,163.16183471679688,135.17672729492188,143.18502807617188
2021-08-31,173.5395050048828,379.3800048828125,285.7699890136719,162.6638641357422,134.66604614257812,143.57278442382812
2021-09-01,173.9499969482422,382.04998779296875,285.260009765625,163.23699951171875,136.03738403320312,143.26255798339844
2021-09-02,173.156005859375,375.2799987792969,285.04998779296875,164.3550262451172,136.14138793945312,144.01870727539062
2021-09-03,173.90249633789062,376.260009765625,281.8900146484375,164.45838928222656,136.23599243164062,144.6876220703125
2021-09-07,175.46449279785156,382.17999267578125,278.8999938964844,161.90283203125,135.7252655029297,142.7681427001953
2021-09-08,176.27499389648438,377.57000732421875,279.3399963378906,161.50819396972656,136.7561492919922,142.95233154296875
2021-09-09,174.20799255371094,378.0,278.6099853515625,157.90977478027344,136.17926025390625,141.94412231445312
2021-09-10,173.45750427246094,378.69000244140625,277.6000061035156,156.876220703125,136.31166076660156,141.43031311035156
2021-09-13,172.85850524902344,376.510009765625,279.9200134277344,155.77696228027344,137.77755737304688,140.6256866455078
2021-09-14,172.5,376.5299987792969,277.20001220703125,154.83743286132812,137.5411376953125,139.88890075683594
2021-09-15,173.7895050048828,373.9200134277344,278.17999267578125,155.41993713378906,137.24795532226562,140.13128662109375
2021-09-16,174.41200256347656,373.05999755859375,277.510009765625,155.23204040527344,136.29275512695312,140.59661865234375
2021-09-17,173.12600708007812,364.7200012207031,276.760009765625,154.79043579101562,136.51025390625,140.3057861328125
2021-09-20,167.7864990234375,355.70001220703125,274.20001220703125,153.9072723388672,135.13890075683594,138.37661743164062
2021-09-21,167.18150329589844,357.4800109863281,273.17999267578125,154.583740234375,135.3470001220703,138.6480712890625
2021-09-22,169.00250244140625,343.2099914550781,274.07000732421875,154.02003479003906,135.81040954589844,138.32814025878906
2021-09-23,170.8000030517578,345.9599914550781,278.1199951171875,154.893798828125,136.368408203125,138.40567016601562
2021-09-24,171.2760009765625,352.9599914550781,277.8699951171875,154.4240264892578,135.76312255859375,138.79348754882812
2021-09-27,170.2899932861328,353.5799865722656,279.7200012207031,153.3059539794922,133.9756317138672,137.90159606933594
2021-09-28,165.79800415039062,340.6499938964844,276.7900085449219,152.96774291992188,132.96368408203125,136.205078125
2021-09-29,165.05599975585938,339.6099853515625,277.2900085449219,154.1045684814453,134.31613159179688,136.14691162109375
2021-09-30,164.2519989013672,339.3900146484375,272.94000244140625,151.73690795898438,132.21653747558594,135.11932373046875
2021-10-01,164.16299438476562,343.010009765625,275.7099914550781,150.76919555664062,132.00848388671875,132.86056518554688
2021-10-04,159.48899841308594,326.2300109863281,273.6400146484375,149.59475708007812,131.2613067626953,131.58090209960938
2021-10-05,161.0500030517578,332.9599914550781,278.04998779296875,149.9329833984375,131.77203369140625,132.44369506835938
2021-10-06,163.10049438476562,333.6400146484375,280.2200012207031,150.24302673339844,133.53115844726562,133.41314697265625
2021-10-07,165.1215057373047,329.2200012207031,282.95001220703125,151.58660888671875,134.59983825683594,134.98361206054688
2021-10-08,164.43099975585938,330.04998779296875,284.1400146484375,151.2013702392578,134.04183959960938,135.39077758789062
2021-10-11,162.31500244140625,325.45001220703125,280.92999267578125,150.56248474121094,134.59983825683594,135.26473999023438
2021-10-12,162.3665008544922,323.7699890136719,278.6199951171875,148.15724182128906,134.4012451171875,135.11932373046875
2021-10-13,164.21400451660156,324.5400085449219,277.8999938964844,149.57595825195312,134.71331787109375,134.1401824951172
2021-10-14,164.9929962158203,328.5299987792969,281.6400146484375,150.4309539794922,136.23599243164062,135.59432983398438
2021-10-15,170.4510040283203,324.760009765625,284.2099914550781,151.5489959716797,136.58595275878906,136.25355529785156
2021-10-18,172.33700561523438,335.3399963378906,282.5899963378906,150.4403533935547,134.61874389648438,137.34901428222656
2021-10-19,172.20750427246094,339.989990234375,284.8299865722656,153.96363830566406,133.02989196777344,140.26699829101562
2021-10-20,170.7530059814453,340.7799987792969,287.489990234375,153.8790740966797,133.55007934570312,141.53692626953125
2021-10-21,171.75050354003906,341.8800048828125,286.82000732421875,153.5220489501953,132.58892822265625,142.32215881347656
2021-10-22,166.77749633789062,324.6099853515625,289.239990234375,153.82269287109375,134.016357421875,143.80538940429688
2021-10-25,166.01849365234375,328.69000244140625,290.260009765625,154.16094970703125,134.03538513183594,145.4728546142578
2021-10-26,168.80349731445312,315.80999755859375,290.8500061035156,155.72998046875,135.93862915039062,144.20289611816406
2021-10-27,169.62449645996094,312.2200012207031,287.7799987792969,153.8415069580078,134.96795654296875,143.0201873779297
2021-10-28,172.32850646972656,316.9200134277344,289.7200012207031,153.0052947998047,135.77682495117188,143.9120635986328
2021-10-29,168.6215057373047,323.57000732421875,287.010009765625,153.03350830078125,136.07183837890625,144.8524169921875
2021-11-01,165.90550231933594,329.9800109863281,286.239990234375,153.1650390625,135.73875427246094,145.21107482910156
2021-11-02,165.6374969482422,328.0799865722656,287.92999267578125,155.57965087890625,137.09007263183594,145.1432647705078
2021-11-03,169.1999969482422,331.6199951171875,288.7200012207031,155.0817108154297,138.0321807861328,145.58917236328125
2021-11-04,173.85000610351562,335.8500061035156,287.69000244140625,154.64952087402344,138.2891082763672,146.65554809570312
2021-11-05,175.94949340820312,341.1300048828125,287.8800048828125,153.5502166748047,138.97425842285156,145.63766479492188
2021-11-08,174.44900512695312,338.6199951171875,288.79998779296875,153.02410888671875,137.93702697753906,144.70700073242188
2021-11-09,178.81149291992188,335.3699951171875,286.3500061035156,152.68585205078125,138.35574340820312,145.21107482910156
2021-11-10,174.1024932861328,327.6400146484375,285.32000732421875,154.33949279785156,139.71653747558594,143.90237426757812
2021-11-11,173.625,327.739990234375,284.6499938964844,153.2025909423828,139.3168487548828,143.96054077148438
2021-11-12,176.25750732421875,340.8900146484375,285.989990234375,155.03472900390625,139.4691162109375,143.24314880371094
