Date,AAPL,MSFT,AMZN,GOOGL,META,BRK-B,JNJ,V,JPM,PG,WMT,MA,UNH,HD,INTC
2021-03-15,122.02027893066406,229.1955108642578,154.08399963378906,102.72200012207031,273.75,254.61000061035156,148.90284729003906,218.84494018554688,143.7010498046875,120.0582046508789,127.8390884399414,375.86907958984375,340.6560363769531,260.56146240234375,58.794837951660156
2021-03-16,123.57518768310547,232.0261688232422,154.59300231933594,104.19450378417969,279.2799987792969,251.5,149.78465270996094,220.24661254882812,141.98072814941406,120.41307830810547,127.80072784423828,376.47943115234375,341.34918212890625,263.87298583984375,59.70730972290039
2021-03-17,122.77806091308594,231.37220764160156,156.7864990234375,104.11100006103516,284.010009765625,252.0,149.2277374267578,218.5998992919922,143.4420928955078,119.9274673461914,126.73723602294922,372.8366394042969,339.0195617675781,261.9553527832031,60.629005432128906
2021-03-18,118.61524963378906,225.20330810546875,151.39950561523438,101.06700134277344,278.6199951171875,252.4600067138672,148.9492645263672,216.28665161132812,145.809814453125,120.1889419555664,125.08243560791016,361.3367919921875,348.52081298828125,264.88330078125,58.739540100097656
2021-03-19,118.0838394165039,224.84219360351562,153.7480010986328,101.3479995727539,290.1099853515625,250.99000549316406,148.5501251220703,202.79937744140625,143.48834228515625,119.54457092285156,126.74687957763672,351.00872802734375,351.9188537597656,270.43988037109375,58.767181396484375
2021-03-22,121.42982482910156,230.34730529785156,155.5435028076172,101.53450012207031,293.5400085449219,250.36000061035156,148.97714233398438,203.87757873535156,139.63153076171875,121.5710678100586,127.35298156738281,352.8695373535156,353.1510314941406,270.2901916503906,60.49074935913086
2021-03-23,120.59330749511719,231.8992919921875,156.875,102.06649780273438,290.6300048828125,248.30999755859375,148.837890625,204.02462768554688,138.2349395751953,123.83106231689453,128.86349487304688,349.7878112792969,354.72979736328125,271.2630920410156,58.50910949707031
2021-03-24,118.1822280883789,229.82997131347656,154.35350036621094,101.62650299072266,282.1400146484375,249.6300048828125,150.28590393066406,203.9462127685547,139.30780029296875,123.79367065429688,128.06495666503906,354.1002197265625,356.7513122558594,273.85430908203125,57.1818733215332
2021-03-25,118.6742935180664,226.7845916748047,152.31300354003906,101.62300109863281,278.739990234375,250.75,150.34158325195312,203.84817504882812,141.09286499023438,124.65283203125,128.93081665039062,352.83013916015625,357.2230224609375,277.99835205078125,57.16343307495117
2021-03-26,119.28445434570312,230.8256072998047,152.60150146484375,101.23650360107422,283.0199890136719,256.7699890136719,153.0890655517578,209.29798889160156,143.4420928955078,126.49256134033203,130.00840759277344,360.4900817871094,362.41156005859375,284.20037841796875,59.79026412963867
2021-03-29,119.46158599853516,229.61524963378906,153.7864990234375,102.28949737548828,290.82000732421875,258.82000732421875,154.119384765625,210.258544921875,141.2130889892578,128.4723358154297,131.49002075195312,357.3099365234375,364.89520263671875,282.6943359375,59.44923782348633
2021-03-30,117.9952621459961,226.30630493164062,152.76449584960938,102.32350158691406,288.0,258.19000244140625,153.16331481933594,207.7002716064453,142.87786865234375,126.49256134033203,130.59524536132812,352.6725769042969,359.6006774902344,285.1452331542969,58.77640151977539
2021-03-31,120.20951843261719,230.13258361816406,154.70399475097656,103.1259994506836,294.5299987792969,255.47000122070312,152.55072021484375,207.5336456298828,140.79685974121094,126.47388458251953,130.6818389892578,350.5557861328125,358.1663818359375,285.54742431640625,58.98838806152344
2021-04-01,121.04601287841797,236.5552215576172,158.0500030517578,106.48899841308594,298.6600036621094,258.20001220703125,151.1398162841797,212.56198120117188,142.16574096679688,125.3999252319336,130.4798126220703,357.69384765625,353.35321044921875,287.8861389160156,59.495323181152344
2021-04-05,123.89994812011719,243.11456298828125,161.3365020751953,110.947998046875,308.9100036621094,262.6600036621094,151.6967315673828,214.6987762451172,142.91932678222656,127.42642211914062,134.14540100097656,362.636474609375,356.34698486328125,295.0423278808594,61.329498291015625
2021-04-06,124.20500946044922,241.93350219726562,161.1909942626953,110.46299743652344,306.260009765625,263.05999755859375,151.6596221923828,214.31651306152344,141.91453552246094,127.47310638427734,134.79000854492188,363.86712646484375,350.754150390625,293.52685546875,60.426231384277344
